Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,42,26.9,4.43,102,3930,3566,452,943,179,36,115,429,69,21,281,907,0.264,0.322,0.432,0.753,97,1539,78,31,26,25,29,710
ATL,47,29.2,3.44,102,3889,3486,351,837,171,18,64,331,52,22,294,784,0.24,0.304,0.355,0.659,79,1236,87,40,43,26,29,728
BAL,39,28.2,4.75,101,3818,3468,480,920,184,3,151,457,13,9,295,840,0.265,0.325,0.451,0.776,103,1563,78,24,10,21,16,675
BOS,45,28.6,5.61,100,3933,3538,561,1024,235,21,127,535,62,13,341,697,0.289,0.355,0.475,0.83,116,1682,86,29,4,21,23,735
CHC,40,27.5,5.04,101,3960,3424,509,868,185,14,128,486,42,23,423,853,0.254,0.345,0.428,0.773,108,1465,72,66,26,20,32,759
CHW,45,28.6,4,102,3831,3446,408,857,164,21,100,389,49,23,297,825,0.249,0.313,0.396,0.709,94,1363,78,41,19,28,11,699
CIN,44,28.1,4.33,101,3767,3399,437,823,165,16,116,410,81,34,274,848,0.242,0.303,0.402,0.706,87,1368,78,34,37,22,22,585
CLE,41,29.3,4.91,99,3822,3428,486,889,179,20,125,459,71,18,316,787,0.259,0.323,0.433,0.755,94,1483,88,22,20,36,10,649
COL,38,28.1,5.09,102,3903,3504,519,939,202,27,127,493,44,28,322,830,0.268,0.332,0.45,0.782,91,1576,74,23,37,17,21,679
DET,38,29.8,4.66,102,3887,3519,475,935,155,21,132,455,43,17,305,841,0.266,0.327,0.434,0.761,106,1528,79,26,11,26,23,698
HOU,34,27,4.55,101,3898,3447,460,848,179,19,131,439,78,29,376,927,0.246,0.324,0.423,0.747,102,1458,84,34,19,22,20,697
KCR,36,28.8,3.93,101,3745,3447,397,919,175,15,86,375,59,20,233,743,0.267,0.316,0.401,0.717,88,1382,86,25,20,20,11,671
LAA,44,28.7,4.66,102,3869,3467,475,935,185,12,95,454,39,21,303,602,0.27,0.331,0.412,0.743,104,1429,101,32,30,35,13,679
LAD,45,28.9,4.3,102,3902,3478,439,849,166,12,112,409,32,17,343,808,0.244,0.317,0.395,0.712,94,1375,84,38,22,21,22,701
MIA,42,28.2,4.21,102,3914,3539,429,961,174,26,85,411,33,13,289,776,0.272,0.33,0.407,0.737,100,1442,86,32,27,26,22,765
MIL,41,28,4.05,100,3740,3276,405,804,151,11,104,387,98,34,373,963,0.245,0.323,0.393,0.717,91,1289,79,19,39,30,17,678
MIN,42,27.4,4.44,101,3873,3480,448,877,178,23,115,425,66,21,313,866,0.252,0.317,0.416,0.732,97,1446,56,32,16,32,17,703
NYM,36,29.4,3.68,101,3754,3351,372,799,153,12,131,362,26,12,312,847,0.238,0.309,0.409,0.718,91,1369,70,41,26,23,21,702
NYY,40,30.9,4.08,101,3754,3390,412,844,148,14,103,387,48,15,287,700,0.249,0.31,0.392,0.702,88,1329,77,25,12,29,10,673
OAK,42,29.3,4.14,102,3797,3483,422,877,165,17,109,411,41,16,257,685,0.252,0.306,0.403,0.709,94,1403,86,24,9,24,15,644
PHI,39,27.1,3.55,104,3782,3457,369,830,147,26,101,349,51,30,243,831,0.24,0.294,0.385,0.679,82,1332,66,29,30,23,18,640
PIT,44,29.2,4.65,100,3888,3463,465,909,185,24,95,444,77,28,320,835,0.262,0.333,0.412,0.745,99,1427,78,59,25,21,26,725
SDP,44,28.8,4.44,102,3835,3474,453,839,175,13,123,434,82,24,279,939,0.242,0.302,0.406,0.708,92,1409,54,34,24,22,19,623
SEA,43,30.8,4.75,100,3826,3427,475,890,159,12,143,456,27,22,311,783,0.26,0.328,0.438,0.766,109,1502,89,49,16,22,17,662
SFG,37,29,4.55,102,3944,3494,464,907,171,32,87,440,51,21,364,689,0.26,0.332,0.402,0.733,98,1403,84,28,27,28,28,738
STL,35,28.5,5.08,102,3965,3524,518,906,195,24,140,496,25,19,348,809,0.257,0.329,0.445,0.774,105,1569,63,41,28,24,21,716
TBR,39,27.9,3.95,100,3738,3380,395,810,171,21,128,381,33,22,289,905,0.24,0.306,0.416,0.723,96,1407,53,43,8,17,17,666
TEX,44,28.2,4.76,103,3869,3509,490,925,156,15,133,476,59,24,270,771,0.264,0.321,0.43,0.751,95,1510,73,42,15,33,14,646
TOR,43,29.9,4.91,102,3944,3472,501,870,180,16,144,478,33,15,389,839,0.251,0.331,0.436,0.767,105,1514,96,41,16,25,12,695
WSN,33,29.1,4.66,102,3934,3467,475,866,167,18,138,460,71,26,361,782,0.25,0.324,0.428,0.752,97,1483,65,41,23,42,38,697
LgAvg,39,28.6,4.45,101,3857,3460,451,883,173,19,116,431,52,21,314,810,0.255,0.321,0.417,0.738,97,1443,78,35,22,25,20,688
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Totals,1182,28.6,4.45,3042,115711,103803,13542,26500,5199,559,3488,12918,1555,637,9408,24312,0.255,0.321,0.417,0.738,97,43281,2328,1045,665,761,594,20638
